subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	24	75	202	2	16	22	0	0	rp	207	NA	NA
013	24	75	0	2	16	22	0	0	pr	207	NA	NA
013	24	75	0	2	16	22	0	0	rr	207	NA	NA
013	24	75	202	2	16	22	0	0	tt	207	NA	NA
013	24	75	170	3	22	52	0	0	ff	207	NA	NA
013	24	75	370	3	22	52	0	0	fp	207	NA	NA
013	24	75	370	3	22	52	0	0	rp	207	NA	NA
013	24	75	0	3	22	52	0	0	pr	207	NA	NA
013	24	75	0	3	22	52	0	0	rr	207	NA	NA
013	24	75	370	3	22	52	0	0	tt	207	NA	NA
013	22	77	258	1	0	23	0	0	ff	229	NA	NA
013	22	77	258	1	0	23	0	0	fp	229	NA	NA
013	22	77	258	1	0	23	0	0	rp	229	NA	NA
013	22	77	0	1	0	23	0	0	pr	229	NA	NA
013	22	77	0	1	0	23	0	0	rr	229	NA	NA
013	22	77	258	1	0	23	0	0	tt	229	NA	NA
013	22	77	242	2	23	29	0	0	ff	229	NA	NA
013	22	77	242	2	23	29	0	0	fp	229	NA	NA
013	22	77	242	2	23	29	0	0	rp	229	NA	NA
013	22	77	0	2	23	29	0	0	pr	229	NA	NA
013	22	77	0	2	23	29	0	0	rr	229	NA	NA
013	22	77	242	2	23	29	0	0	tt	229	NA	NA
013	22	77	168	3	29	57	0	0	ff	229	NA	NA
013	22	77	788	3	29	57	0	0	fp	229	NA	NA
013	22	77	946	3	29	57	0	0	rp	229	NA	NA
013	22	77	0	3	29	57	0	0	pr	229	NA	NA
013	22	77	0	3	29	57	0	0	rr	229	NA	NA
013	22	77	788	3	29	57	0	0	tt	229	NA	NA
016	24	94	160	1	0	19	0	0	ff	12	NA	NA
016	24	94	330	1	0	19	0	0	fp	12	NA	NA
016	24	94	330	1	0	19	0	0	rp	12	NA	NA
016	24	94	0	1	0	19	0	0	pr	12	NA	NA
016	24	94	920	1	0	19	0	0	rr	12	NA	NA
016	24	94	1250	1	0	19	0	0	tt	12	NA	NA
016	24	94	290	2	19	26	0	0	ff	12	NA	NA
016	24	94	290	2	19	26	0	0	fp	12	NA	NA
016	24	94	662	2	19	26	0	0	rp	12	NA	NA
016	24	94	1	2	19	26	0	0	pr	12	NA	NA
016	24	94	562	2	19	26	0	0	rr	12	NA	NA
016	24	94	852	2	19	26	0	0	tt	12	NA	NA
016	24	94	94	3	26	54	0	0	ff	12	NA	NA
016	24	94	786	3	26	54	0	0	fp	12	NA	NA
016	24	94	2938	3	26	54	0	0	rp	12	NA	NA
016	24	94	1	3	26	54	0	0	pr	12	NA	NA
016	24	94	1042	3	26	54	0	0	rr	12	NA	NA
016	24	94	1828	3	26	54	0	0	tt	12	NA	NA
016	22	88	280	1	0	19	0	0	ff	16	NA	NA
016	22	88	280	1	0	19	0	0	fp	16	NA	NA
016	22	88	280	1	0	19	0	0	rp	16	NA	NA
016	22	88	0	1	0	19	0	0	pr	16	NA	NA
016	22	88	1844	1	0	19	0	0	rr	16	NA	NA
016	22	88	2124	1	0	19	0	0	tt	16	NA	NA
016	22	88	234	2	19	24	0	0	ff	16	NA	NA
016	22	88	234	2	19	24	0	0	fp	16	NA	NA
016	22	88	234	2	19	24	0	0	rp	16	NA	NA
016	22	88	0	2	19	24	0	0	pr	16	NA	NA
016	22	88	426	2	19	24	0	0	rr	16	NA	NA
016	22	88	660	2	19	24	0	0	tt	16	NA	NA
016	22	88	340	3	24	50	0	0	ff	16	NA	NA
016	22	88	482	3	24	50	0	0	fp	16	NA	NA
016	22	88	4252	3	24	50	0	0	rp	16	NA	NA
016	22	88	1	3	24	50	0	0	pr	16	NA	NA
016	22	88	1500	3	24	50	0	0	rr	16	NA	NA
016	22	88	1982	3	24	50	0	0	tt	16	NA	NA
016	24	90	216	1	0	16	0	0	ff	18	NA	NA
